�û�ID,�û��ͻ�,����,��ծ��,������,��������
112109,0,92,0.039584166,2500,0
141213,0,92,0.004201681,2379,0
101178,0,92,0.000529101,1889,0
46550,0,92,0.000666223,1500,0
34371,0,92,0.008142117,1350,0
137830,0,92,0,1100,0
64682,0,92,0.010989011,1000,0
321,0,92,10,,0
1793,0,92,2,,
7372,0,92,8,,0
12675,0,92,0,,
18954,0,92,373,,0
25343,0,92,35,,0
26798,0,92,16,,0
31273,0,92,0,,0
36944,0,92,5,,
42279,0,92,32,,0
44466,0,92,0,,0
45168,0,92,69,,
45239,0,92,41,,0
45288,0,92,8,,
49576,0,92,313,,0
61677,0,92,47,,0
68767,0,92,88,,0
70374,0,92,318,,0
71786,0,92,0,,0
71836,0,92,110,,
72393,0,92,4,,
74400,0,92,159,,
75187,0,92,0,,
84579,0,92,28,,0
85169,0,92,3,,0
92326,0,92,2,,0
95127,0,92,1232,,0
95606,0,92,214,,0
103837,0,92,4311,,0
105138,0,92,67,,0
109777,0,92,2212,,0
112106,0,92,24,,
126061,0,92,0,,0
127309,0,92,2925,,0
129477,0,92,4,,
135609,0,92,325,,0
145895,0,92,0,,0
146281,0,92,0,,0
48929,1,91,0.002687914,20833,0
71507,0,91,0.142492875,20000,1
104813,1,91,0.519949601,16666,0
2353,0,91,0.000301495,16583,0
120395,0,91,0.003166403,12000,0
71661,0,91,0.140409717,11031,0
9687,0,91,0.079706695,10500,0
107854,0,91,0.001428435,10500,0
98674,0,91,0.00549945,10000,1
50330,0,91,0.002027965,9368,0
106907,0,91,0.003163484,8850,0
55942,0,91,0.204023331,8400,1
110147,0,91,0.008887792,8100,0
19974,0,91,0.101237345,8000,1
28722,0,91,0.013623297,8000,1
7949,0,91,0.004254254,7991,0
125410,0,91,0.000378692,7921,0
87676,0,91,0.048664612,7787,0
138663,0,91,0.001553234,7081,0
139545,0,91,0.00157098,7001,0
80129,0,91,0.351717113,6871,0
28683,0,91,0.519274036,6666,0
28651,0,91,0.315949448,6250,0
36011,0,91,0.017757159,6250,0
93425,0,91,0.063063063,6104,0
22144,0,91,0,6000,0
22553,0,91,0.188635227,6000,0
104902,0,91,0.006998834,6000,0
125435,0,91,0.008831861,6000,0
28019,0,91,0.118772625,5800,0
86198,0,91,0.17389043,5767,0
81722,0,91,0,5700,0
69001,0,91,0.004642028,5600,1
72739,0,91,0.000366166,5461,0
141431,0,91,0.219403814,5400,0
133081,0,91,0.001135074,5285,0
11953,0,91,0.00379924,5000,0
93812,0,91,0.149278015,4916,0
113938,0,91,0.004564225,4600,0
16407,0,91,0.038318371,4566,0
17081,0,91,0.00622084,4500,0
89796,0,91,0.007625028,4458,0
16751,0,91,0.004582951,4363,0
23225,0,91,0.009688581,4334,0
143821,0,91,0.499527856,4235,0
73914,0,91,0.010949774,4200,0
114150,0,91,0,4200,0
132843,1,91,0.297576194,4166,1
30180,0,91,0.076294278,4036,0
61428,0,91,0.00099975,4000,0
92542,0,91,0.078730317,4000,0
114099,0,91,0.00435674,3901,0
140597,0,91,0.00512952,3898,0
15557,0,91,0.00846588,3897,0
149659,0,91,0.000790722,3793,0
25527,0,91,0.000802139,3739,0
88893,0,91,0.168062686,3700,1
33958,0,91,0.000856898,3500,1
110548,0,91,0.093973151,3500,0
121689,0,91,0.001999429,3500,0
19015,0,91,0.015007215,3464,0
6917,0,91,0.00297442,3361,0
123211,0,91,0.118712902,3200,0
6744,0,91,0,2706,0
72558,0,91,0.306602014,2680,0
12464,0,91,0.609688854,2538,0
38606,0,91,0.016793283,2500,0
134630,0,91,0.011595362,2500,0
86269,0,91,0.399428805,2450,0
99211,0,91,0,2400,0
62386,1,91,0.350313152,2394,0
62903,0,91,0.008257279,2300,0
47899,0,91,0.304861427,2200,0
93933,0,91,0,2175,0
123667,0,91,0.010052657,2088,0
94193,0,91,0.379810095,2000,0
583,0,91,0.184123484,1813,0
132925,0,91,0.18907563,1665,0
132557,0,91,0.623686055,1426,0
24740,0,91,0.003700962,1350,0
134124,0,91,0.431034483,1101,0
10346,0,91,48,0,1
102142,0,91,39,0,0
510,0,91,0,,
6573,0,91,0,,0
6872,0,91,15,,0
7097,0,91,2966,,
7408,0,91,721,,0
7807,0,91,1869,,0
10064,0,91,26,,0
10259,0,91,0,,
14047,0,91,0,,
18324,0,91,0,,0
19536,0,91,21,,0
19605,0,91,11,,0
25306,0,91,0,,0
27922,0,91,0,,0
28821,0,91,1315,,0
33539,0,91,0,,0
34491,0,91,14,,0
35762,0,91,0,,0
37233,0,91,23,,0
37771,0,91,2860,,
42857,0,91,0,,
43618,0,91,5208,,0
43634,0,91,0,,0
43937,0,91,1,,
55048,0,91,149,,
58898,0,91,0,,0
59172,0,91,6,,0
61132,0,91,26,,
61550,0,91,20,,0
67756,0,91,0,,
68951,0,91,9,,0
77033,0,91,6,,
83916,0,91,1,,
84845,0,91,13,,
86859,0,91,12,,0
87273,0,91,0,,0
88685,0,91,0,,0
88691,0,91,77,,0
91680,0,91,7,,0
95280,0,91,3,,
100467,0,91,1855,,
100953,0,91,7,,
102104,0,91,0,,0
102219,0,91,38,,0
102383,0,91,101,,0
102738,0,91,52,,0
103984,0,91,0,,
105247,0,91,8,,0
110615,0,91,38,,
113008,0,91,0,,
113766,0,91,0,,0
117364,0,91,0,,
121631,0,91,0,,0
121991,0,91,1,,
122897,0,91,268,,
124908,0,91,5,,0
124954,0,91,0,,0
126412,0,91,0,,0
129977,0,91,43,,0
132541,0,91,1112,,0
133886,0,91,0,,0
134100,1,91,18,,0
134713,0,91,400,,
135909,0,91,0,,
139718,0,91,392,,0
141537,0,91,28,,
142802,0,91,1,,0
143738,0,91,12,,0
146682,0,91,521,,0
148066,0,91,58,,0
149011,0,91,22,,0
11188,0,90,0.01047028,34000,0
63165,0,90,0.002319814,12500,0
89435,0,90,0.757105061,11716,1
108225,0,90,0.006746692,11412,0
85593,0,90,0.280508399,11250,0
88999,0,90,0.294012511,11189,0
133992,0,90,0.011180802,11000,1
41568,0,90,0,10500,0
48103,0,90,0.00485668,10500,0
109755,0,90,0.000285687,10500,0
109898,0,90,0.011808399,10500,0
92704,0,90,0.039850805,10187,0
19932,0,90,0.00439956,10000,1
48831,0,90,0.226277372,10000,1
74077,0,90,0.00839916,10000,0
149819,0,90,0.07783817,9750,0
103436,0,90,0.119645337,9360,0
93098,0,90,0.000606943,8237,0
25005,0,90,0.00199975,8000,0
146100,0,90,0.001124859,8000,0
115297,0,90,0.000753958,7957,0
13431,0,90,0.001086366,7363,0
53123,0,90,0.258841548,7181,0
21928,0,90,0.000988142,7083,1
77543,0,90,0.006070017,7083,1
113545,0,90,0.001411632,7083,0
126050,0,90,0.076510446,7083,0
29696,0,90,0.010835472,7013,0
80761,0,90,0.006284816,7000,0
81852,1,90,0.027710327,7000,0
124679,0,90,0.003999429,7000,0
143563,0,90,0.856163405,7000,1
118633,0,90,0.008160344,6984,0
11159,0,90,0.203253246,6700,0
65049,0,90,0.032243551,6667,1
53696,0,90,0,6601,0
32988,0,90,0,6500,0
87030,0,90,0.00061529,6500,0
90064,0,90,0,6500,0
79587,0,90,0.000799872,6250,0
126224,0,90,0.006610478,6050,0
84302,0,90,0.00182785,6017,0
68891,0,90,0.000999833,6000,0
87398,0,90,0.245709431,5884,0
143071,0,90,0.208604731,5833,0
149490,0,90,0.009653508,5800,0
9869,0,90,0.004137931,5799,0
82636,0,90,0.050138313,5783,0
102237,0,90,0.195018548,5660,0
76504,0,90,0.137247773,5500,0
73893,0,90,0.002636038,5310,0
93231,0,90,0.000597372,5021,0
37189,0,90,0.00139972,5000,0
40253,0,90,0.0029994,5000,0
40477,0,90,0.100779844,5000,1
126409,0,90,0.0029994,5000,0
144616,0,90,0.00779844,5000,0
13812,0,90,0,4855,0
29499,0,90,0.079624782,4583,1
63757,0,90,0.019342811,4290,0
124847,0,90,0.220694477,4290,0
29084,0,90,0.106004448,4046,0
66059,0,90,0.341185222,4032,0
40031,0,90,0.207948013,4000,0
137887,0,90,0.004748813,4000,0
85069,0,90,0.006664889,3750,0
139241,0,90,0.003465742,3750,0
60108,0,90,0,3689,1
138022,0,90,0.007788595,3594,0
48183,0,90,0.009486607,3583,1
106073,0,90,0.007959068,3517,0
22768,0,90,0.019423022,3500,0
119994,0,90,0.003141959,3500,0
121193,0,90,0.005181347,3473,0
17684,0,90,0.003197674,3439,0
128774,0,90,0.0014997,3333,0
65284,0,90,0.00720072,3332,0
33467,0,90,0.566944266,3121,0
38615,0,90,1.66827853,3101,0
115054,0,90,0.004837149,3100,0
126550,0,90,0.007094486,3100,0
2017,0,90,1.41586138,3000,0
10927,0,90,0.130956348,3000,0
22819,0,90,0.011996001,3000,0
70989,0,90,0.159613462,3000,0
75630,0,90,0.016994335,3000,1
98091,0,90,0.001999334,3000,0
117743,0,90,0.198600467,3000,1
123538,0,90,0.003665445,3000,0
127849,0,90,0.001999334,3000,0
79914,0,90,0.011012433,2814,0
29628,0,90,0.036775632,2691,0
146820,0,90,0.157228018,2683,0
45600,0,90,0.002717391,2575,0
106587,0,90,0.001173709,2555,0
3584,0,90,0.422003929,2544,0
27331,0,90,0.470447284,2503,0
21840,0,90,0.010795682,2500,0
58742,0,90,0,2500,1
147528,0,90,0.009996002,2500,0
110121,0,90,0.010860821,2485,0
149652,0,90,0.001656315,2414,0
8048,0,90,0.000445236,2245,0
67594,0,90,0,2226,1
17263,0,90,0.816199377,1925,0
127366,0,90,0.542600897,1783,0
17951,0,90,0.174454829,1604,0
100358,0,90,0.184884447,1600,0
81727,0,90,0.008370895,1552,0
103665,0,90,0,1500,0
139096,0,90,0.18734388,1200,0
19540,0,90,0.021133525,1040,1
17831,0,90,107.3333333,2,0
125982,0,90,2,0,0
388,0,90,876,,0
823,0,90,0,,
4056,0,90,13,,
7258,0,90,28,,
8969,0,90,40,,0
12027,0,90,14,,0
12183,0,90,1,,0
12275,0,90,47,,0
14633,0,90,14,,
16165,0,90,7,,
18233,0,90,91,,
19457,0,90,0,,
21811,0,90,2,,
26688,0,90,0,,0
27095,0,90,10,,0
27856,0,90,173,,0
31223,0,90,3,,0
34706,0,90,791,,0
34767,0,90,42,,0
34894,0,90,0,,0
47738,0,90,1,,
48886,0,90,10,,0
53259,0,90,2,,0
56058,0,90,8,,
58002,0,90,4,,0
60592,0,90,0,,0
61640,0,90,20,,0
67083,0,90,34,,0
68202,1,90,2315,,0
70351,0,90,39,,0
70836,0,90,4,,
76797,0,90,26,,0
77838,0,90,39,,0
79677,0,90,1,,
80274,0,90,0,,0
81452,0,90,5,,0
84400,0,90,0,,0
84421,0,90,10,,0
85758,0,90,0,,0
85780,0,90,730,,0
86971,0,90,36,,
91164,0,90,0,,0
91336,0,90,130,,0
91787,0,90,0,,0
92118,0,90,290,,
92267,0,90,0,,
94588,1,90,23,,0
94767,0,90,54,,
96057,0,90,3,,0
97646,0,90,35,,0
98210,0,90,40,,
98782,0,90,0,,0
100800,0,90,0,,0
105302,0,90,0,,
108513,0,90,67,,0
110816,0,90,25,,
112792,0,90,49,,0
115721,0,90,46,,
116461,0,90,303,,0
116901,0,90,19,,0
120239,0,90,2,,0
121597,0,90,1,,
122930,0,90,30,,
124070,0,90,1490,,1
126366,0,90,2117,,0
127144,0,90,13,,0
127671,0,90,2823,,
128383,0,90,1,,0
130253,0,90,398,,0
130319,0,90,54,,0
131257,0,90,26,,
131753,0,90,82,,
134616,0,90,2,,
138464,0,90,37,,0
138595,0,90,57,,0
138669,0,90,1593,,0
141538,0,90,26,,
142604,0,90,118,,
144343,0,90,6,,0
145138,0,90,484,,1
145621,0,90,1,,
147761,0,90,1,,
148406,0,90,363,,
148664,0,90,28,,0
118197,1,89,0.527493981,15366,0
51112,0,89,0.004889766,11656,2
104377,0,89,0.085731729,11465,0
124394,0,89,0.002090719,11000,0
125913,0,89,0.001181711,11000,0
8816,0,89,0.000476145,10500,0
18076,0,89,0.0059042,10500,0
22242,0,89,0.065757896,10416,0
49410,0,89,0.01219878,10000,0
110576,0,89,0.005829413,9777,0
130657,0,89,0.189415042,9333,0
30730,0,89,0.04469794,8590,0
98703,0,89,0.656335029,8452,0
70208,0,89,0.104122246,8441,0
77191,0,89,0.008808475,8400,0
53512,0,89,0.013317337,8334,0
101066,1,89,0.001679866,8333,0
145025,0,89,0.021118311,8333,1
104475,0,89,0.320081918,8300,1
121175,0,89,0.508121212,8249,1
78702,0,89,0.003820196,7852,0
9144,0,89,0.004978935,7832,0
121487,0,89,0.002205787,7706,0
145113,0,89,0.003199573,7500,0
142233,0,89,0.000673038,7428,0
126128,0,89,0.037674482,7378,0
25801,0,89,0.004482478,7361,0
109936,0,89,0.002038043,7359,0
108949,0,89,0.158548779,7000,0
11787,0,89,0.011669659,6683,0
58465,0,89,0.130343483,6666,0
138563,0,89,0.007367313,6650,0
54912,0,89,0.005135176,6620,0
58957,0,89,0.036661112,6600,0
109933,0,89,0,6495,0
130543,0,89,0.14986124,6485,0
55194,0,89,0.159193876,6400,0
53244,0,89,0.192687902,6372,0
33310,0,89,0.00143977,6250,0
56250,0,89,0.071658098,6223,0
96547,0,89,0.012293756,6181,1
19051,0,89,0.010471204,6111,0
2372,0,89,0,6000,0
2778,0,89,0.000499917,6000,0
10545,0,89,0.122979503,6000,1
30778,0,89,0.002666222,6000,0
45991,0,89,0.486585569,6000,0
5622,0,89,0.020397669,5833,0
96957,0,89,0.010383668,5681,0
91095,0,89,0.004769475,5660,0
144533,0,89,0.003035172,5600,0
40245,0,89,0.618619698,5563,0
127896,0,89,0.002714441,5525,0
134116,0,89,0.001817851,5500,0
100639,0,89,0.084596669,5342,0
84916,0,89,0.021149779,5200,0
2185,0,89,0.000774144,5166,0
67842,0,89,0.062487795,5120,0
77115,0,89,0.011195522,5001,0
13015,0,89,0.191161768,5000,0
26767,0,89,0.00719856,5000,0
28145,0,89,0.131373725,5000,0
55200,0,89,0,5000,0
92771,0,89,0.019196161,5000,0
25002,0,89,0.00020404,4900,1
116714,0,89,0.004521167,4865,0
128399,0,89,0.271271063,4806,0
3310,0,89,0.402832743,4800,0
11446,0,89,0.005623828,4800,0
135585,0,89,0,4781,0
124483,0,89,0.004415475,4755,0
124021,0,89,0.121231288,4742,0
16517,0,89,0.191107311,4677,0
34172,0,89,0.189177582,4656,0
147779,0,89,0.245381439,4600,0
141505,0,89,0.099533437,4500,0
5867,0,89,0.356357928,4458,0
34778,0,89,0.344577768,4416,0
16337,0,89,0.045216996,4400,1
117085,1,89,0.017503978,4398,0
13922,0,89,0.001850139,4323,0
8496,0,89,0.462257537,4278,0
128537,0,89,0.005842487,4278,0
24848,0,89,0,4257,0
54033,0,89,0.076452599,4250,0
10429,0,89,0.007855273,4200,0
88797,0,89,0.005518234,4167,0
90015,0,89,0.002639789,4166,0
145116,0,89,0.007439405,4166,0
34285,0,89,0.003169959,4100,0
139838,0,89,0.003901487,4100,0
74764,0,89,0.001465201,4094,0
20871,0,89,0.003249188,4000,0
22000,0,89,0.112971757,4000,0
24433,0,89,0.152711822,4000,0
27563,0,89,0.005748563,4000,0
53042,0,89,0.002499375,4000,0
101438,0,89,0.001499625,4000,0
148512,0,89,0.437390652,4000,1
116513,0,89,0.004808909,3950,0
25704,0,89,0.003041825,3944,0
66353,0,89,0.119326874,3921,0
91127,0,89,0.019932695,3862,0
10106,0,89,0.004154765,3850,0
20519,0,89,0.003732338,3750,0
72463,0,89,0.000799787,3750,0
56957,0,89,0.006484734,3700,0
124307,0,89,0.004052959,3700,0
81446,0,89,0.22417523,3697,0
61643,0,89,0.001086661,3680,0
18315,0,89,0.51977093,3666,0
11433,0,89,0.000820793,3654,0
40562,0,89,0.093116252,3500,0
1582,0,89,0.000572902,3490,0
84652,0,89,0.001719198,3489,0
93477,0,89,0.088032221,3475,0
69615,0,89,0.00029146,3430,0
132283,0,89,0.001470156,3400,0
149210,0,89,0.000884173,3392,0
33385,0,89,0.00539892,3333,0
115414,0,89,0,3333,0
84490,1,89,0.593009119,3289,0
16773,0,89,0.715898097,3100,0
4368,0,89,0.009996668,3000,0
18112,0,89,0.281906031,3000,0
71334,0,89,0.148617128,3000,0
145070,0,89,0.144951683,3000,0
28729,0,89,0.009462656,2958,1
143801,0,89,0.200609963,2950,0
97736,1,89,0.083511777,2801,0
144629,0,89,0.308986753,2792,0
50193,0,89,0.002866356,2790,0
58455,0,89,0.020618557,2715,0
21079,0,89,0.672580023,2592,0
94148,0,89,0.0003861,2589,0
98323,0,89,0,2536,0
573,1,89,0.549380248,2500,0
40985,0,89,0.018792483,2500,0
55115,0,89,0.182726909,2500,0
85920,0,89,0.005997601,2500,0
72325,0,89,0.012825651,2494,0
146899,0,89,0.011535049,2253,0
1925,0,89,0.007223476,2214,0
81651,0,89,0.101317583,2200,0
135383,0,89,0.004151292,2167,0
94259,0,89,1.094240838,2100,0
14652,0,89,0.002399232,2083,0
16731,0,89,0.03848076,2000,0
124965,0,89,0.006542526,1986,0
127392,0,89,0.130874179,1978,1
85806,0,89,0.007303078,1916,0
30732,0,89,0.009468701,1900,0
73025,0,89,0.280738786,1894,0
100901,0,89,0.002767017,1806,0
144698,0,89,0.002771619,1803,0
111945,0,89,0.052836485,1797,0
135086,1,89,0.031737194,1795,1
95538,0,89,1.34429949,1762,0
124033,0,89,0.017048795,1700,0
110987,0,89,0,1666,0
119778,0,89,0.001817081,1650,0
3531,0,89,0.288053366,1648,0
48483,0,89,0,1600,0
123373,0,89,0.011242973,1600,0
21951,0,89,0.019294744,1502,0
134368,1,89,0.64027671,1300,0
130512,0,89,0.002349256,1276,0
123331,0,89,1.154460719,750,0
123590,0,89,0.008319468,600,0
44980,0,89,0.097727273,439,0
15812,0,89,0.212,249,0
53683,0,89,61106.5,1,0
768,0,89,5,0,0
12936,0,89,39,0,0
34319,0,89,4,0,0
52052,0,89,14,0,0
58795,0,89,337,0,0
148657,0,89,41,0,0
1454,0,89,1,,0
3626,0,89,791,,0
7722,0,89,38,,
9069,0,89,486,,
11522,0,89,30,,
13968,0,89,476,,0
14307,0,89,215,,0
14750,0,89,20,,
20042,0,89,1658,,0
21770,0,89,7,,0
22963,0,89,1554,,0
24393,0,89,4,,0
27612,0,89,10,,
30961,0,89,25,,
31144,0,89,10,,0
31927,0,89,22,,0
32819,0,89,3676,,0
35416,0,89,10,,
36143,0,89,14,,
38284,0,89,20,,
39946,0,89,28,,0
40127,0,89,2,,
44734,0,89,0,,0
44812,0,89,4,,0
45487,0,89,94,,0
45728,0,89,34,,0
45798,0,89,6,,
46531,0,89,13,,
48801,1,89,1,,0
49325,0,89,11,,0
50445,0,89,9,,
51959,0,89,20,,0
56949,0,89,22,,
57412,0,89,0,,0
58337,0,89,20,,
60089,0,89,0,,0
60487,0,89,13,,0
61551,0,89,135,,
61738,0,89,5,,
62066,0,89,7,,0
62381,0,89,5,,
64005,0,89,4,,0
64752,0,89,317,,0
68398,0,89,11,,
72085,0,89,0,,0
72403,0,89,20,,0
74854,0,89,0,,0
77865,0,89,15,,0
79160,0,89,26,,0
79721,0,89,8,,
87102,0,89,0,,0
87233,0,89,16,,0
87305,0,89,19,,0
89702,0,89,32,,0
90084,0,89,0,,
